pet_id,issue_date,listing_date,condition,color_type,length(m),X1,X2,breed_category,pet_category,issue_date_dt,listing_date_dt,date_diff,conditionnan,height(m)
ANSL_66055,2008-01-25 00:00:00,2016-08-15 11:27:00,1.0,Brown Tabby,0.66,0,1,0.0,1,2008-01-25,2016-08-15,3125,0,0.3601
ANSL_50488,2018-01-07 00:00:00,2018-07-28 12:36:00,3.0,Brown,0.45,11,4,2.0,4,2018-01-07,2018-07-28,202,1,0.14
ANSL_68751,2018-03-14 00:00:00,2018-05-24 17:10:00,0.0,White,0.92,7,1,1.0,2,2018-03-14,2018-05-24,71,0,0.495
ANSL_57387,2014-11-22 00:00:00,2017-04-10 16:55:00,0.0,Blue,0.31,13,9,1.0,2,2014-11-22,2017-04-10,870,0,0.4904
ANSL_67782,2012-08-02 00:00:00,2019-01-07 00:00:00,2.0,Black,0.51,13,9,0.0,2,2012-08-02,2019-01-07,2349,0,0.45530000000000004
ANSL_76397,2018-04-11 00:00:00,2019-05-02 14:16:00,1.0,Black,0.8,0,7,0.0,2,2018-04-11,2019-05-02,386,0,0.37170000000000003
ANSL_59210,2017-12-30 00:00:00,2018-04-25 17:41:00,0.0,Tortie,0.53,0,1,1.0,1,2017-12-30,2018-04-25,116,0,0.3506
ANSL_56018,2011-01-25 00:00:00,2017-03-10 12:21:00,1.0,Gray,0.32,0,7,0.0,2,2011-01-25,2017-03-10,2236,0,0.4892
ANSL_53325,2015-09-01 00:00:00,2016-09-23 18:16:00,1.0,Fawn,0.98,0,7,0.0,2,2015-09-01,2016-09-23,388,0,0.1402
ANSL_52456,2010-07-18 00:00:00,2018-02-18 14:46:00,0.0,Tricolor,0.68,0,7,1.0,2,2010-07-18,2018-02-18,2772,0,0.22329999999999997
ANSL_55113,2013-11-29 00:00:00,2016-12-28 16:15:00,1.0,Buff,0.16,0,1,0.0,2,2013-11-29,2016-12-28,1125,0,0.27190000000000003
ANSL_73983,2005-10-04 00:00:00,2018-10-27 00:00:00,1.0,White,0.6,13,9,0.0,2,2005-10-04,2018-10-27,4771,0,0.4936
ANSL_62164,2009-02-13 00:00:00,2017-12-14 15:49:00,0.0,Black,0.83,0,1,1.0,2,2009-02-13,2017-12-14,3226,0,0.2234
ANSL_53732,2017-07-28 00:00:00,2019-03-27 15:40:00,0.0,White,0.92,0,1,1.0,1,2017-07-28,2019-03-27,607,0,0.3762
ANSL_69635,2017-05-26 00:00:00,2018-06-21 15:15:00,2.0,White,0.16,0,7,1.0,2,2017-05-26,2018-06-21,391,0,0.4819
ANSL_54000,2018-01-14 00:00:00,2018-02-11 14:49:00,3.0,White,0.03,13,9,2.0,1,2018-01-14,2018-02-11,28,1,0.21899999999999997
ANSL_66035,2017-08-26 00:00:00,2018-11-15 15:15:00,1.0,Black,0.91,13,9,0.0,2,2017-08-26,2018-11-15,446,0,0.3024
ANSL_50166,2018-07-06 00:00:00,2018-09-30 18:44:00,0.0,Torbie,0.73,0,1,1.0,1,2018-07-06,2018-09-30,86,0,0.1586
ANSL_50330,2017-07-27 00:00:00,2018-02-18 10:19:00,3.0,Brown,0.73,0,6,2.0,4,2017-07-27,2018-02-18,206,1,0.08220000000000001
ANSL_66446,2010-03-14 00:00:00,2017-04-10 14:17:00,1.0,Orange Tabby,0.9,0,7,0.0,1,2010-03-14,2017-04-10,2584,0,0.1288
ANSL_51682,2017-06-08 00:00:00,2018-07-30 18:36:00,1.0,Tricolor,0.88,0,7,0.0,2,2017-06-08,2018-07-30,417,0,0.41369999999999996
ANSL_56697,2014-10-31 00:00:00,2016-11-21 15:26:00,2.0,Brown,0.65,13,9,1.0,4,2014-10-31,2016-11-21,752,0,0.1814
ANSL_60819,2015-10-23 00:00:00,2017-12-26 11:11:00,0.0,Black,0.79,7,1,1.0,1,2015-10-23,2017-12-26,795,0,0.109
ANSL_58673,2017-12-29 00:00:00,2018-03-08 11:04:00,3.0,Black,0.08,9,2,2.0,1,2017-12-29,2018-03-08,69,1,0.304
ANSL_62458,2018-04-17 00:00:00,2018-12-14 17:42:00,0.0,Blue,0.05,0,1,1.0,1,2018-04-17,2018-12-14,241,0,0.441
ANSL_64552,2016-10-23 00:00:00,2017-11-14 09:00:00,0.0,Orange Tabby,0.52,16,9,1.0,1,2016-10-23,2017-11-14,387,0,0.1325
ANSL_75413,2018-11-29 00:00:00,2019-04-08 17:09:00,1.0,Black,0.62,0,1,0.0,2,2018-11-29,2019-04-08,130,0,0.3276
ANSL_76141,2018-03-29 00:00:00,2019-04-26 11:49:00,1.0,White,0.42,0,8,0.0,2,2018-03-29,2019-04-26,393,0,0.1038
ANSL_60574,2015-01-20 00:00:00,2018-04-09 09:30:00,1.0,Black,0.53,13,9,0.0,1,2015-01-20,2018-04-09,1175,0,0.4292
ANSL_55045,2015-03-06 00:00:00,2017-03-28 19:02:00,0.0,Black,0.07,16,9,1.0,1,2015-03-06,2017-03-28,753,0,0.0709
ANSL_66680,2016-08-24 00:00:00,2017-09-24 14:28:00,0.0,Blue,0.41,0,1,1.0,2,2016-08-24,2017-09-24,396,0,0.3507
ANSL_55030,2008-03-20 00:00:00,2017-07-23 17:26:00,2.0,Sable,0.54,0,7,0.0,2,2008-03-20,2017-07-23,3412,0,0.17010000000000003
ANSL_75554,2017-03-04 00:00:00,2019-04-12 13:06:00,0.0,White,0.19,13,9,1.0,2,2017-03-04,2019-04-12,769,0,0.30010000000000003
ANSL_62016,2016-12-15 00:00:00,2019-01-07 21:55:00,3.0,Brown Tabby,0.44,18,4,2.0,1,2016-12-15,2019-01-07,753,1,0.4968
ANSL_69645,2015-01-28 00:00:00,2018-02-28 18:24:00,0.0,Tan,0.67,0,7,1.0,2,2015-01-28,2018-02-28,1127,0,0.15380000000000002
ANSL_52823,2014-03-13 00:00:00,2017-12-31 14:42:00,1.0,Tan,0.7,0,7,0.0,2,2014-03-13,2017-12-31,1389,0,0.1253
ANSL_76493,2017-04-07 00:00:00,2019-05-03 21:07:00,1.0,Brown,0.8,0,1,0.0,2,2017-04-07,2019-05-03,756,0,0.2912
ANSL_52483,2016-07-16 00:00:00,2016-10-15 15:50:00,2.0,Brown Tabby,0.33,18,4,0.0,1,2016-07-16,2016-10-15,91,0,0.4654
ANSL_56705,2016-10-29 00:00:00,2017-11-24 17:35:00,0.0,Tan,0.09,0,1,1.0,2,2016-10-29,2017-11-24,391,0,0.2071
ANSL_71550,2016-08-03 00:00:00,2016-10-29 19:51:00,1.0,White,0.62,7,1,0.0,1,2016-08-03,2016-10-29,87,0,0.3564
ANSL_74451,2016-06-21 00:00:00,2018-06-12 11:35:00,1.0,Black,0.83,0,7,0.0,1,2016-06-21,2018-06-12,721,0,0.1796
ANSL_54362,2016-12-09 00:00:00,2017-11-03 17:36:00,0.0,Black,0.04,0,1,1.0,2,2016-12-09,2017-11-03,329,0,0.43270000000000003
ANSL_55262,2016-07-03 00:00:00,2017-07-28 18:59:00,1.0,Orange Tabby,0.38,16,9,0.0,1,2016-07-03,2017-07-28,390,0,0.3215
ANSL_52281,2016-04-08 00:00:00,2018-05-09 14:57:00,0.0,Blue,0.1,0,1,1.0,2,2016-04-08,2018-05-09,761,0,0.4425
ANSL_50293,2016-11-18 00:00:00,2017-02-21 15:23:00,2.0,Brown Tabby,0.73,9,2,0.0,1,2016-11-18,2017-02-21,95,0,0.3542
ANSL_63670,2010-09-15 00:00:00,2019-03-31 18:39:00,0.0,Brown Tabby,0.31,0,1,1.0,1,2010-09-15,2019-03-31,3119,0,0.49060000000000004
ANSL_54345,2014-01-03 00:00:00,2019-01-27 14:54:00,0.0,Tricolor,0.3,0,7,1.0,2,2014-01-03,2019-01-27,1850,0,0.23879999999999998
ANSL_54467,2016-01-07 00:00:00,2018-01-29 07:48:00,3.0,Red,0.49,15,4,2.0,4,2016-01-07,2018-01-29,753,1,0.3978
ANSL_63117,2015-02-07 00:00:00,2018-02-28 16:16:00,1.0,Black,0.24,0,7,0.0,1,2015-02-07,2018-02-28,1117,0,0.4052
ANSL_75526,2016-03-18 00:00:00,2019-04-11 15:06:00,2.0,Black,0.79,0,3,0.0,1,2016-03-18,2019-04-11,1119,0,0.3936
ANSL_58969,2016-11-20 00:00:00,2016-12-16 16:40:00,3.0,Brown Tabby,0.17,13,9,2.0,1,2016-11-20,2016-12-16,26,1,0.326
ANSL_61988,2010-05-05 00:00:00,2018-05-25 14:28:00,2.0,Buff,0.27,18,4,0.0,1,2010-05-05,2018-05-25,2942,0,0.32799999999999996
ANSL_69265,2016-02-02 00:00:00,2018-03-17 14:27:00,1.0,Blue Tick,0.58,0,1,0.0,2,2016-02-02,2018-03-17,774,0,0.3996
ANSL_76161,2011-04-05 00:00:00,2019-04-27 11:40:00,0.0,Black,0.18,0,7,1.0,2,2011-04-05,2019-04-27,2944,0,0.4806
ANSL_72371,2017-07-12 00:00:00,2018-08-05 17:08:00,0.0,White,0.01,0,1,1.0,2,2017-07-12,2018-08-05,389,0,0.3099
ANSL_62897,2015-09-22 00:00:00,2018-09-07 12:08:00,0.0,Brown,0.56,7,1,1.0,2,2015-09-22,2018-09-07,1081,0,0.1655
ANSL_60626,2018-08-19 00:00:00,2018-11-17 16:12:00,0.0,Orange Tabby,0.46,0,1,1.0,1,2018-08-19,2018-11-17,90,0,0.2783
ANSL_55226,2014-09-23 00:00:00,2017-11-04 17:07:00,1.0,Brown,0.45,0,1,0.0,2,2014-09-23,2017-11-04,1138,0,0.3575
ANSL_75066,2018-03-01 00:00:00,2018-09-20 10:42:00,3.0,Red,0.15,12,1,2.0,0,2018-03-01,2018-09-20,203,1,0.36729999999999996
ANSL_58763,2016-11-29 00:00:00,2018-12-24 17:41:00,2.0,Tricolor,0.64,13,9,1.0,2,2016-11-29,2018-12-24,755,0,0.3569
ANSL_63362,2016-03-19 00:00:00,2018-04-26 17:13:00,1.0,Orange Tabby,0.3,0,1,0.0,1,2016-03-19,2018-04-26,768,0,0.2919
ANSL_60528,2014-10-27 00:00:00,2017-11-18 09:00:00,1.0,Orange Tabby,0.32,16,9,0.0,1,2014-10-27,2017-11-18,1118,0,0.4057
ANSL_66119,2015-03-02 00:00:00,2018-04-05 13:45:00,1.0,Black,0.1,0,7,0.0,2,2015-03-02,2018-04-05,1130,0,0.0712
ANSL_73664,2017-10-04 00:00:00,2018-12-02 08:09:00,1.0,Black,0.0,7,1,0.0,2,2017-10-04,2018-12-02,424,0,0.3298
ANSL_58286,2015-10-01 00:00:00,2018-11-11 16:03:00,0.0,Blue,0.01,0,1,1.0,1,2015-10-01,2018-11-11,1137,0,0.4368
ANSL_54029,2016-07-29 00:00:00,2018-09-20 19:05:00,0.0,Torbie,0.89,0,1,1.0,1,2016-07-29,2018-09-20,783,0,0.1265
ANSL_73990,2016-07-02 00:00:00,2016-11-28 18:54:00,1.0,White,0.46,0,1,0.0,1,2016-07-02,2016-11-28,149,0,0.1938
ANSL_54886,2018-01-30 00:00:00,2019-03-06 12:20:00,0.0,Brown Tabby,0.91,0,1,1.0,1,2018-01-30,2019-03-06,400,0,0.4539
ANSL_75713,2018-03-22 00:00:00,2019-04-16 12:42:00,2.0,Brown Tabby,0.43,17,9,1.0,1,2018-03-22,2019-04-16,390,0,0.4954
ANSL_61116,2016-11-10 00:00:00,2017-02-18 18:57:00,0.0,Brown Tabby,0.67,0,1,1.0,1,2016-11-10,2017-02-18,100,0,0.426
ANSL_60330,2017-09-05 00:00:00,2017-12-11 20:10:00,1.0,Black,0.93,0,1,0.0,2,2017-09-05,2017-12-11,97,0,0.2002
ANSL_72100,2017-06-09 00:00:00,2018-07-03 14:53:00,0.0,Tan,0.0,0,7,1.0,2,2017-06-09,2018-07-03,389,0,0.222
ANSL_66412,2017-01-27 00:00:00,2019-03-03 11:54:00,0.0,Orange,0.41,0,1,1.0,1,2017-01-27,2019-03-03,765,0,0.0647
ANSL_70858,2017-07-30 00:00:00,2018-08-24 16:59:00,1.0,Black,0.02,17,9,0.0,1,2017-07-30,2018-08-24,390,0,0.3619
ANSL_73513,2016-11-24 00:00:00,2017-02-25 18:47:00,0.0,Torbie,0.44,0,1,1.0,1,2016-11-24,2017-02-25,93,0,0.2545
ANSL_70120,2014-06-24 00:00:00,2018-01-19 18:19:00,1.0,Tan,0.21,0,7,0.0,2,2014-06-24,2018-01-19,1305,0,0.3152
ANSL_71504,2016-07-04 00:00:00,2016-11-25 18:46:00,0.0,Blue Tabby,0.11,0,1,1.0,1,2016-07-04,2016-11-25,144,0,0.4276
ANSL_71993,2012-07-21 00:00:00,2017-08-05 17:34:00,0.0,Chocolate,0.84,0,7,1.0,2,2012-07-21,2017-08-05,1841,0,0.2298
ANSL_69762,2013-12-27 00:00:00,2018-10-05 15:59:00,0.0,Black,0.09,0,1,1.0,1,2013-12-27,2018-10-05,1743,0,0.0886
ANSL_59393,2018-07-19 00:00:00,2018-12-23 19:15:00,1.0,Orange Tabby,0.06,0,1,0.0,1,2018-07-19,2018-12-23,157,0,0.15460000000000002
ANSL_76646,2018-09-24 00:00:00,2019-05-08 13:05:00,2.0,White,0.61,0,7,0.0,2,2018-09-24,2019-05-08,226,0,0.2547
ANSL_66359,2015-01-16 00:00:00,2017-02-07 09:16:00,2.0,Orange Tabby,0.81,18,4,0.0,1,2015-01-16,2017-02-07,753,0,0.4233
ANSL_67558,2010-10-02 00:00:00,2018-10-22 13:25:00,1.0,Chocolate,0.14,0,7,0.0,2,2010-10-02,2018-10-22,2942,0,0.45049999999999996
ANSL_52564,2009-06-01 00:00:00,2017-06-26 17:07:00,2.0,Black,0.05,13,9,1.0,1,2009-06-01,2017-06-26,2947,0,0.3145
ANSL_63471,2007-02-19 00:00:00,2017-03-10 18:29:00,2.0,Brown Tabby,0.82,9,2,1.0,1,2007-02-19,2017-03-10,3672,0,0.17620000000000002
ANSL_50012,2016-09-04 00:00:00,2017-01-23 18:20:00,1.0,Black,0.81,0,1,0.0,1,2016-09-04,2017-01-23,141,0,0.2903
ANSL_54755,2015-04-12 00:00:00,2018-09-07 16:46:00,0.0,White,0.76,0,1,1.0,2,2015-04-12,2018-09-07,1244,0,0.46049999999999996
ANSL_69874,2016-09-16 00:00:00,2018-10-11 15:57:00,1.0,Black,0.92,0,1,0.0,1,2016-09-16,2018-10-11,755,0,0.1119
ANSL_52815,2016-11-17 00:00:00,2016-12-10 19:24:00,3.0,Calico,0.99,13,9,2.0,1,2016-11-17,2016-12-10,23,1,0.44229999999999997
ANSL_63690,2016-09-18 00:00:00,2018-10-10 09:16:00,3.0,Red,0.16,15,4,2.0,4,2016-09-18,2018-10-10,752,1,0.0842
ANSL_74184,2017-09-17 00:00:00,2017-10-31 12:24:00,2.0,Black Tabby,0.33,13,9,0.0,1,2017-09-17,2017-10-31,44,0,0.3354
ANSL_68874,2016-11-16 00:00:00,2017-04-02 13:44:00,2.0,Black,0.95,13,9,1.0,1,2016-11-16,2017-04-02,137,0,0.44049999999999995
ANSL_64736,2014-08-13 00:00:00,2017-09-03 18:54:00,2.0,Red,0.17,15,4,1.0,4,2014-08-13,2017-09-03,1117,0,0.3319
ANSL_60337,2016-09-13 00:00:00,2016-12-17 14:57:00,1.0,Tan,0.14,13,9,0.0,2,2016-09-13,2016-12-17,95,0,0.17850000000000002
ANSL_65602,2017-10-11 00:00:00,2018-01-04 17:17:00,2.0,Brown Tabby,0.37,0,1,0.0,1,2017-10-11,2018-01-04,85,0,0.17300000000000001
ANSL_66640,2016-09-06 00:00:00,2016-12-16 17:30:00,1.0,Black Brindle,0.41,0,1,0.0,2,2016-09-06,2016-12-16,101,0,0.2466
ANSL_55016,2016-04-04 00:00:00,2017-04-28 18:45:00,1.0,Cream Tabby,0.52,0,1,0.0,1,2016-04-04,2017-04-28,389,0,0.0625
ANSL_74939,2016-03-24 00:00:00,2017-11-13 16:00:00,1.0,White,0.91,0,7,0.0,2,2016-03-24,2017-11-13,599,0,0.24309999999999998
ANSL_54794,2017-09-06 00:00:00,2017-12-04 12:30:00,0.0,Blue Tabby,0.69,0,1,1.0,1,2017-09-06,2017-12-04,89,0,0.4255
ANSL_66067,2011-12-03 00:00:00,2016-12-23 16:42:00,0.0,Black,0.04,0,7,1.0,2,2011-12-03,2016-12-23,1847,0,0.054000000000000006
ANSL_67472,2016-07-10 00:00:00,2016-10-06 18:40:00,1.0,Orange Tabby,0.03,0,1,0.0,1,2016-07-10,2016-10-06,88,0,0.0812
ANSL_61924,2017-11-17 00:00:00,2018-06-19 14:48:00,0.0,Tan,0.18,0,1,1.0,2,2017-11-17,2018-06-19,214,0,0.2667
ANSL_57027,2018-11-07 00:00:00,2019-02-09 17:06:00,0.0,Torbie,0.04,0,1,1.0,1,2018-11-07,2019-02-09,94,0,0.13849999999999998
ANSL_63245,2014-03-23 00:00:00,2018-04-13 15:38:00,1.0,Black,0.08,0,7,0.0,2,2014-03-23,2018-04-13,1482,0,0.2965
ANSL_67439,2018-06-23 00:00:00,2019-01-16 15:20:00,2.0,White,0.2,13,9,0.0,2,2018-06-23,2019-01-16,207,0,0.3209
ANSL_61569,2015-10-22 00:00:00,2017-05-21 12:01:00,2.0,Black,0.15,0,7,0.0,2,2015-10-22,2017-05-21,577,0,0.3143
ANSL_66720,2017-10-26 00:00:00,2018-12-14 19:15:00,1.0,Brown Brindle,0.63,0,1,0.0,2,2017-10-26,2018-12-14,414,0,0.22829999999999998
ANSL_69437,2017-07-16 00:00:00,2018-01-09 13:02:00,1.0,Blue,0.9,7,1,0.0,1,2017-07-16,2018-01-09,177,0,0.24960000000000002
ANSL_65204,2016-07-21 00:00:00,2016-09-17 13:31:00,2.0,Black,0.81,13,9,0.0,1,2016-07-21,2016-09-17,58,0,0.4314
ANSL_60534,2017-07-13 00:00:00,2018-03-05 15:44:00,0.0,Gold,0.36,0,1,1.0,2,2017-07-13,2018-03-05,235,0,0.1545
ANSL_71253,2016-12-19 00:00:00,2018-06-12 12:21:00,0.0,Brown Tabby,0.49,13,9,1.0,1,2016-12-19,2018-06-12,540,0,0.07780000000000001
ANSL_61331,2018-06-07 00:00:00,2018-07-28 14:40:00,2.0,Black,0.27,13,9,0.0,1,2018-06-07,2018-07-28,51,0,0.12539999999999998
ANSL_59868,2016-02-04 00:00:00,2018-04-29 16:38:00,3.0,Brown,0.97,0,3,2.0,4,2016-02-04,2018-04-29,815,1,0.4619
ANSL_64532,2017-06-30 00:00:00,2017-10-11 00:00:00,2.0,Calico Point,0.53,9,5,1.0,1,2017-06-30,2017-10-11,103,0,0.2028
ANSL_59797,2011-12-28 00:00:00,2019-01-18 09:36:00,1.0,White,0.4,0,7,0.0,2,2011-12-28,2019-01-18,2578,0,0.4742
ANSL_50355,2014-05-21 00:00:00,2017-06-11 18:13:00,1.0,Blue Merle,0.04,0,7,0.0,2,2014-05-21,2017-06-11,1117,0,0.4523
ANSL_61861,2006-03-04 00:00:00,2019-04-01 11:36:00,0.0,Brown Tabby,0.77,0,7,1.0,1,2006-03-04,2019-04-01,4776,0,0.27390000000000003
ANSL_75174,2018-06-20 00:00:00,2018-10-16 11:00:00,0.0,Blue,0.19,13,9,1.0,1,2018-06-20,2018-10-16,118,0,0.261
ANSL_65618,2012-11-29 00:00:00,2018-03-04 00:00:00,1.0,Blue Merle,0.5,0,7,0.0,2,2012-11-29,2018-03-04,1921,0,0.1222
ANSL_71574,2016-04-09 00:00:00,2018-06-01 18:36:00,0.0,Brown Brindle,0.9,0,1,1.0,2,2016-04-09,2018-06-01,783,0,0.4826
ANSL_61677,2018-06-26 00:00:00,2018-10-29 18:00:00,1.0,Blue Tabby,0.3,7,1,0.0,1,2018-06-26,2018-10-29,125,0,0.31370000000000003
ANSL_60315,2017-07-13 00:00:00,2018-09-24 18:40:00,0.0,Blue Tabby,0.91,0,1,1.0,1,2017-07-13,2018-09-24,438,0,0.2796
ANSL_58968,2016-08-22 00:00:00,2016-11-22 15:31:00,0.0,Tortie,1.0,0,1,1.0,1,2016-08-22,2016-11-22,92,0,0.2777
ANSL_75417,2019-01-23 00:00:00,2019-04-08 18:26:00,1.0,Tan,0.53,7,1,0.0,2,2019-01-23,2019-04-08,75,0,0.225
ANSL_67786,2012-06-25 00:00:00,2016-07-23 11:55:00,0.0,White,0.49,13,9,1.0,2,2012-06-25,2016-07-23,1489,0,0.1886
ANSL_64363,2016-11-22 00:00:00,2018-12-12 00:00:00,2.0,Black,0.48,2,4,0.0,1,2016-11-22,2018-12-12,750,0,0.12480000000000001
ANSL_69159,2011-11-11 00:00:00,2016-12-04 17:59:00,0.0,White,0.73,0,7,1.0,2,2011-11-11,2016-12-04,1850,0,0.092
ANSL_64748,2016-09-18 00:00:00,2017-10-09 17:26:00,0.0,White,0.21,0,7,1.0,2,2016-09-18,2017-10-09,386,0,0.47600000000000003
ANSL_59733,2017-09-06 00:00:00,2018-10-01 15:51:00,2.0,Black,0.91,13,9,1.0,2,2017-09-06,2018-10-01,390,0,0.4192
ANSL_66903,2013-07-31 00:00:00,2016-08-22 11:04:00,0.0,Black,0.69,0,7,1.0,2,2013-07-31,2016-08-22,1118,0,0.4193
ANSL_70167,2016-02-17 00:00:00,2017-07-07 18:08:00,0.0,Orange Tabby,0.06,7,1,1.0,1,2016-02-17,2017-07-07,506,0,0.3395
ANSL_60808,2016-10-04 00:00:00,2017-01-27 12:38:00,1.0,Brown Tabby,0.37,0,1,0.0,1,2016-10-04,2017-01-27,115,0,0.2627
ANSL_50064,2018-01-05 00:00:00,2019-01-27 16:02:00,1.0,Orange Tabby,0.47,0,7,0.0,1,2018-01-05,2019-01-27,387,0,0.0759
ANSL_73811,2016-10-24 00:00:00,2017-02-07 14:33:00,1.0,Brown Tabby,0.88,0,1,0.0,1,2016-10-24,2017-02-07,106,0,0.4454
ANSL_71122,2016-01-11 00:00:00,2018-02-13 19:04:00,1.0,Black,0.09,0,7,0.0,2,2016-01-11,2018-02-13,764,0,0.29710000000000003
ANSL_57006,2016-02-03 00:00:00,2018-03-29 11:37:00,1.0,Tan,0.87,0,1,0.0,2,2016-02-03,2018-03-29,785,0,0.2066
ANSL_59199,2018-01-12 00:00:00,2018-06-01 17:20:00,1.0,Orange Tabby,0.66,7,1,0.0,1,2018-01-12,2018-06-01,140,0,0.2394
ANSL_58890,2014-09-29 00:00:00,2018-10-20 16:14:00,1.0,White,0.64,0,7,0.0,2,2014-09-29,2018-10-20,1482,0,0.41350000000000003
ANSL_57463,2011-11-23 00:00:00,2016-12-17 13:14:00,2.0,Tricolor,0.51,13,9,1.0,2,2011-11-23,2016-12-17,1851,0,0.135
ANSL_63374,2014-08-23 00:00:00,2016-10-12 10:22:00,2.0,Red Merle,0.29,13,9,0.0,2,2014-08-23,2016-10-12,781,0,0.0667
ANSL_60951,2006-06-07 00:00:00,2018-07-09 09:53:00,0.0,Black,0.04,0,7,1.0,2,2006-06-07,2018-07-09,4415,0,0.09820000000000001
ANSL_63454,2017-11-02 00:00:00,2018-01-17 10:44:00,2.0,Black Tabby,0.16,7,1,0.0,1,2017-11-02,2018-01-17,76,0,0.08039999999999999
ANSL_73065,2017-09-10 00:00:00,2017-12-08 16:06:00,2.0,Brown Tabby,0.61,0,1,1.0,1,2017-09-10,2017-12-08,89,0,0.39880000000000004
ANSL_72681,2007-09-26 00:00:00,2016-10-17 10:07:00,2.0,Brown,0.66,18,4,1.0,2,2007-09-26,2016-10-17,3309,0,0.18899999999999997
ANSL_60874,2017-07-09 00:00:00,2017-11-20 12:53:00,0.0,Orange Tabby,0.15,0,1,1.0,1,2017-07-09,2017-11-20,134,0,0.3678
ANSL_51360,2016-02-18 00:00:00,2017-03-19 15:23:00,1.0,Black,0.19,0,1,0.0,2,2016-02-18,2017-03-19,395,0,0.25170000000000003
ANSL_50693,2017-08-04 00:00:00,2017-11-04 12:03:00,3.0,Black,0.73,0,4,2.0,4,2017-08-04,2017-11-04,92,1,0.292
ANSL_59052,2016-01-30 00:00:00,2016-09-08 15:33:00,2.0,White,0.49,13,9,1.0,2,2016-01-30,2016-09-08,222,0,0.0536
ANSL_51733,2018-08-13 00:00:00,2018-12-09 19:01:00,1.0,Blue,0.33,0,1,0.0,1,2018-08-13,2018-12-09,118,0,0.1773
ANSL_51044,2012-04-14 00:00:00,2017-05-23 15:26:00,1.0,Black,0.73,0,1,0.0,1,2012-04-14,2017-05-23,1865,0,0.3555
ANSL_52522,2016-07-07 00:00:00,2016-08-24 18:49:00,3.0,Orange Tabby,0.87,13,9,2.0,1,2016-07-07,2016-08-24,48,1,0.1635
